"id","longitude","latitude","a_weight","b_weight","type","dp_type"
"PID.4000259",-111.92672636,33.3866892656,1607.028,535.676023,"demand point",4
"PID.4000260",-112.064510453,33.4944210036,1607.028,535.676023,"demand point",4
"PID.4000261",-112.101781743,33.412589534,1607.028,535.676023,"demand point",4
"PID.4000262",-112.094439449,33.5186068083,1607.028,535.676023,"demand point",4
"PID.4000263",-112.086289246,33.4450212362,1607.028,535.676023,"demand point",4
"PID.4000264",-112.114342266,33.6126825312,1607.028,535.676023,"demand point",4
"PID.4000265",-112.096495181,33.6107151753,1607.028,535.676023,"demand point",4
"PID.4000266",-112.201229944,33.5216379002,1607.028,535.676023,"demand point",4
"PID.4000267",-112.071703719,33.4072965524,1607.028,535.676023,"demand point",4
"PID.4000268",-112.0830835,33.4617370923,1607.028,535.676023,"demand point",4
"PID.4000269",-112.121056337,33.4382907504,1607.028,535.676023,"demand point",4
"PID.4000270",-112.099249602,33.5099708796,1607.028,535.676023,"demand point",4
"PID.4000271",-112.19963307,33.4782223908,1607.028,535.676023,"demand point",4
"PID.4000272",-111.988538285,33.3787779303,1607.028,535.676023,"demand point",4
"PID.4000273",-111.838724519,33.4509939469,1607.028,535.676023,"demand point",4
"PID.4000274",-112.071108252,33.3971008904,1607.028,535.676023,"demand point",4
"PID.4000275",-112.084795999,33.4471526953,1607.028,535.676023,"demand point",4
"PID.4000276",-112.311199662,33.4919695022,1607.028,535.676023,"demand point",4
"PID.4000277",-112.111232582,33.6109497758,1607.028,535.676023,"demand point",4
"PID.4000278",-111.898251026,33.4259229081,1607.028,535.676023,"demand point",4
"PID.4000279",-112.043127706,33.4112137195,1607.028,535.676023,"demand point",4
"PID.4000280",-112.072555817,33.4586892552,1607.028,535.676023,"demand point",4
"PID.4000281",-112.086544124,33.4453384052,1607.028,535.676023,"demand point",4
"PID.4000282",-112.125653403,33.4385317369,1607.028,535.676023,"demand point",4
"PID.4000283",-112.077851739,33.4057539644,1607.028,535.676023,"demand point",4
"PID.4000284",-112.02480351,33.6386151556,1607.028,535.676023,"demand point",4
"PID.4000285",-112.046792752,33.5385541913,1607.028,535.676023,"demand point",4
"PID.4000286",-112.038547785,33.4802795958,1607.028,535.676023,"demand point",4
"PID.4000287",-112.146356455,33.4951943572,1607.028,535.676023,"demand point",4
"PID.4000288",-112.091319464,33.455969675,1607.028,535.676023,"demand point",4
"PID.4000289",-112.121508769,33.484974953,1607.028,535.676023,"demand point",4
"PID.4000290",-112.11898895,33.5099862182,1607.028,535.676023,"demand point",4
"PID.4000291",-112.004588532,33.4791101278,1607.028,535.676023,"demand point",4
"PID.4000292",-112.318155254,33.4435394254,1607.028,535.676023,"demand point",4
"PID.4000293",-112.153748309,33.4655301856,1607.028,535.676023,"demand point",4
"PID.4000294",-112.151522332,33.5819164721,1607.028,535.676023,"demand point",4
"PID.4000295",-112.095837807,33.5818585158,1607.028,535.676023,"demand point",4
"PID.4000296",-112.128394636,33.5729524451,1607.028,535.676023,"demand point",4
"PID.4000297",-112.195793406,33.638127401,1607.028,535.676023,"demand point",4
"PID.4000298",-112.160683646,33.2717598334,1607.028,535.676023,"demand point",4
"PID.4000299",-112.131444903,33.6247972492,1607.028,535.676023,"demand point",4
"PID.4000300",-111.974117491,33.4583350656,1607.028,535.676023,"demand point",4
"PID.4000301",-112.341043882,33.4284141258,1607.028,535.676023,"demand point",4
"PID.4000302",-112.092148009,33.4244046562,1607.028,535.676023,"demand point",4
"PID.4000303",-111.925367895,33.5018959461,1607.028,535.676023,"demand point",4
"PID.4000304",-112.086995141,33.4460100191,1607.028,535.676023,"demand point",4
"PID.4000305",-112.097012044,33.4481133333,1607.028,535.676023,"demand point",4
"PID.4000306",-111.898328572,33.6437525546,1607.028,535.676023,"demand point",4
"PID.4000307",-112.113749648,33.4516634182,1607.028,535.676023,"demand point",4
"PID.4000308",-111.856986216,33.4231343921,1607.028,535.676023,"demand point",4
"PID.4000309",-111.986998962,33.480269062,1607.028,535.676023,"demand point",4
"PID.4000310",-112.219978775,33.5373680692,1607.028,535.676023,"demand point",4
"PID.4000311",-111.971473849,33.4927952002,1607.028,535.676023,"demand point",4
"PID.4000312",-112.073829661,33.457665944,1607.028,535.676023,"demand point",4
"PID.4000313",-112.085162974,33.4463054784,1607.028,535.676023,"demand point",4
"PID.4000314",-112.118821629,33.5813536729,1607.028,535.676023,"demand point",4
"PID.4000315",-112.101859376,33.5225460049,1607.028,535.676023,"demand point",4
"PID.4000316",-112.116954583,33.596402667,1607.028,535.676023,"demand point",4
"PID.4000317",-112.19953002,33.4808338073,1607.028,535.676023,"demand point",4
"PID.4000318",-112.274356713,33.4646825402,1607.028,535.676023,"demand point",4
"PID.4000319",-112.091418375,33.4460017783,1607.028,535.676023,"demand point",4
"PID.4000320",-112.133874212,33.4545256855,1607.028,535.676023,"demand point",4
"PID.4000321",-112.134578896,33.5925111727,1607.028,535.676023,"demand point",4
"PID.4000322",-112.084748612,33.4460215018,1607.028,535.676023,"demand point",4
"PID.4000323",-112.117593236,33.4501266523,1607.028,535.676023,"demand point",4
"PID.4000324",-112.216295922,33.4657123164,1607.028,535.676023,"demand point",4
"PID.4000325",-112.137309772,33.4375477343,1607.028,535.676023,"demand point",4
"PID.4000326",-111.990440794,33.6066016544,1607.028,535.676023,"demand point",4
"PID.4000327",-112.084748612,33.4460215018,1607.028,535.676023,"demand point",4
"PID.4000328",-112.111298676,33.5246007653,1607.028,535.676023,"demand point",4
"PID.4000329",-112.099429876,33.4067268927,1607.028,535.676023,"demand point",4
"PID.4000330",-112.120128362,33.6114551091,1607.028,535.676023,"demand point",4
"PID.4000331",-111.986424353,33.4770693153,1607.028,535.676023,"demand point",4
"PID.4000332",-112.216567433,33.4727635739,1607.028,535.676023,"demand point",4
"PID.4000333",-111.910231912,33.4668385072,1607.028,535.676023,"demand point",4
"PID.4000334",-112.2272146,33.4948350922,1607.028,535.676023,"demand point",4
"PID.4000335",-111.614390525,33.4180585562,1607.028,535.676023,"demand point",4
"PID.4000336",-112.088470353,33.4452651745,1607.028,535.676023,"demand point",4
"PID.4000337",-112.141827171,33.4851200009,1607.028,535.676023,"demand point",4
"PID.4000338",-112.111828103,33.474988966,1607.028,535.676023,"demand point",4
"PID.4000339",-112.186767035,33.4656289384,1607.028,535.676023,"demand point",4
"PID.4000340",-112.170717057,33.5537951772,1607.028,535.676023,"demand point",4
"PID.4000341",-112.048055214,33.3782765933,1607.028,535.676023,"demand point",4
"PID.4000342",-112.073725761,33.4284342169,1607.028,535.676023,"demand point",4
"PID.4000343",-111.990000073,33.3808786016,1607.028,535.676023,"demand point",4
"PID.4000344",-112.116663778,33.495701211,1607.028,535.676023,"demand point",4
"PID.4000345",-112.103229,33.4941265361,1607.028,535.676023,"demand point",4
"PID.4000346",-112.129354883,33.4957140667,1607.028,535.676023,"demand point",4
"PID.4000347",-111.841241509,33.4082092957,1607.028,535.676023,"demand point",4
"PID.4000348",-112.009242407,33.6252714724,1607.028,535.676023,"demand point",4
"PID.4000349",-112.096154319,33.4515663919,1607.028,535.676023,"demand point",4
"PID.4000350",-112.051675984,33.4654549062,1607.028,535.676023,"demand point",4
"PID.4000351",-112.243346503,33.4797734808,1607.028,535.676023,"demand point",4
"PID.4000352",-111.900393719,33.4293350936,1607.028,535.676023,"demand point",4
"PID.4000353",-112.084761778,33.447097976,1607.028,535.676023,"demand point",4
"PID.4000354",-112.105100838,33.4236026423,1607.028,535.676023,"demand point",4
"PID.4000355",-112.272536038,33.4614347206,1607.028,535.676023,"demand point",4
