OBJECTID,Name,FacilityTy,Weight,Capacity,DemandCoun,DemandWeig,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Total_Leng,Total_Time,TotalWeigh,TotalWei_1,POINT_X,POINT_Y
48,FaID.0061,1,1.000000000000000,0.000000000000000,325,282317.306480000028387,1,21917,0.397663104436000,1,0,0,725357.371032000053674,875933.849337000050582,0.000000000000000,32.342142889300000,790217.430089000030421,0.000000000000000,588669959.149000048637390,0.000000000000000,-111.833583390000001,33.407569599600002
49,FaID.0062,1,1.000000000000000,0.000000000000000,139,132319.065839999995660,1,144948,0.535344481359000,2,0,0,618635.222924000001512,923835.676413999986835,0.000000000000000,38.298247780099999,244909.430861000000732,0.000000000000000,156970856.784999996423721,0.000000000000000,-112.184125559999998,33.539253633000001
50,FaID.0063,1,1.000000000000000,0.000000000000000,30,11788.978960000000370,1,155762,0.463962449731000,2,0,0,665231.728326000040397,866647.423776000039652,0.000000000000000,68.049673987500000,113684.074720999997226,0.000000000000000,26171754.325899999588728,0.000000000000000,-112.031308336999999,33.382371422399999
51,FaID.0066,1,1.000000000000000,0.000000000000000,0,0.000000000000000,1,48312,0.357245309466000,2,0,0,698326.112623999943025,980543.093567000003532,0.000000000000000,30.409729212300000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-111.922336051000002,33.695149312300003
52,FaID.0067,1,1.000000000000000,0.000000000000000,143,146244.588359999994282,1,201122,0.567787445842000,2,0,0,655403.542753000045195,933477.080532000050880,0.000000000000000,24.343979289899998,457484.201095999975223,0.000000000000000,450363044.027999997138977,0.000000000000000,-112.063085323999999,33.566172124500000
53,FaID.0068,1,1.000000000000000,0.000000000000000,145,85186.671679999999469,1,139864,0.644121924086000,1,0,0,606405.827655000030063,900260.951756000053138,0.000000000000000,47.728346179299997,492174.324354999989737,0.000000000000000,297819497.598999977111816,0.000000000000000,-112.223608351999999,33.473939150000000
54,FaID.0069,1,1.000000000000000,0.000000000000000,27,19286.389480000001640,1,132131,1.000000000000000,1,0,0,601852.952099999994971,938497.301180999958888,0.000000000000000,45.822084488100003,73311.672528700000839,0.000000000000000,34512219.069499999284744,0.000000000000000,-112.238935425999998,33.579003721900001
55,FaID.0070,1,1.000000000000000,0.000000000000000,59,13132.835960000000341,1,132150,0.313394920393000,1,0,0,601123.668537999968976,937735.481206999975257,0.000000000000000,39.530408048500000,177701.526692000014009,0.000000000000000,32284492.828999999910593,0.000000000000000,-112.241314629000001,33.576960632899997
56,FaID.0071,1,1.000000000000000,0.000000000000000,6,6428.112000000000080,1,234513,1.000000000000000,1,0,0,599683.880249000038020,951361.667979000019841,0.000000000000000,128.295586512999989,22986.175577999998495,0.000000000000000,24626285.177799999713898,0.000000000000000,-112.244815466999995,33.614794058699999
57,FaID.0072,1,1.000000000000000,0.000000000000000,31,35890.852039999997942,1,161466,0.170926724286000,2,0,0,656033.561866999953054,889787.116410000016913,0.000000000000000,12.230186396600001,72756.445939500001259,0.000000000000000,83934740.700599998235703,0.000000000000000,-112.060950328999994,33.445879911200002
58,FaID.0073,1,1.000000000000000,0.000000000000000,102,74199.899959999995190,1,253942,0.854006709450000,1,0,0,571671.913641000050120,887499.304682999965735,0.000000000000000,5.288729603050000,255558.962429000006523,0.000000000000000,107526141.071999996900558,0.000000000000000,-112.337358698000003,33.438914327100001
59,FaID.0074,1,1.000000000000000,0.000000000000000,147,17166.647120000001451,1,21753,0.435714888968000,1,0,0,733513.250185000011697,878552.954239999991842,0.000000000000000,29.359162693199998,511543.865851000009570,0.000000000000000,43378209.801500000059605,0.000000000000000,-111.806890181000000,33.414776772200000
