OBJECTID,PointID,FIPS,parcelsamp,RPL_THEMES,RelativeRi,Relative_1,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,POINT_X,POINT_Y
1846,PID.0933960,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420031,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3016 W MONTECITO AVE,6238.000000000000000,324.026669532000028,-112.123848299000002,33.499527908700003
1847,PID.0987312,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425104,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4144 N 29TH DR,6000.000000000000000,320.002452966000021,-112.122490708000001,33.496789585400002
1848,PID.0547841,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420143,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3016 W TURNEY AVE,6500.000000000000000,330.000227887999984,-112.123836396000002,33.500257615999999
1849,PID.0131413,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421125,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3217 W MONTECITO AVE,6453.000000000000000,326.545858486999975,-112.128480637999999,33.499109190799999
1850,PID.0310731,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420087,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4439 N 31ST AVE,7590.000000000000000,362.010666946000015,-112.125279204999998,33.501693392500002
1851,PID.0130018,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422110,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3442 W GLENROSA AVE,8154.000000000000000,355.256010505999996,-112.133968125999999,33.498804965399998
1852,PID.0397163,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421026,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3138 W SELLS DR,6619.000000000000000,331.494480378999981,-112.127590424999994,33.501654605900001
1853,PID.0915168,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15419061,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4449 N 28TH AVE,8160.000000000000000,364.495054891999985,-112.119310862999995,33.501993005599999
1854,PID.0410038,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421087,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3222 W TURNEY AVE,6538.000000000000000,329.084548653000013,-112.128699029000003,33.500226896000001
1855,PID.0011229,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421120,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3241 W MONTECITO AVE,7645.000000000000000,350.079186966000009,-112.129602797000004,33.499104019599997
1856,PID.0884114,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421137,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4327 N 31ST DR,6550.000000000000000,329.420618918000002,-112.126268193000001,33.499629425300000
1857,PID.0482484,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425001,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4102 N 30TH AVE,6823.000000000000000,336.092930050000007,-112.123378746000000,33.495235678599997
1858,PID.0330634,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420127,2008-07-21 19:00:00,2036-02-07 00:28:16,1,2912 W ROMA AVE,7200.000000000000000,344.003016307999985,-112.122041156999998,33.501623256300000
1859,PID.0538539,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15426102,2008-07-21 19:00:00,2036-02-07 00:28:16,1,2745 W MACKENZIE DR,6250.000000000000000,325.001200472999983,-112.119108740000001,33.496895071499999
1860,PID.0335248,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15423037,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4141 N 34TH AVE,7740.000000000000000,368.159954917999983,-112.131135739000001,33.496809595400002
1861,PID.0831279,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425153,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4227 N 31ST AVE,7705.000000000000000,364.001608126999997,-112.125295331000004,33.497467417999999
1862,PID.0991615,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422010,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3347 W CAMPBELL AVE,6509.000000000000000,328.201462314000025,-112.131944359000002,33.501969976700003
1863,PID.0306719,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15426085,2008-07-21 19:00:00,2036-02-07 00:28:16,1,2822 W MACKENZIE DR,6301.000000000000000,326.039202473999978,-112.120498230999999,33.497308105300000
1864,PID.0357061,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15423039,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4146 N 33RD DR,7757.000000000000000,355.713571543000000,-112.130706613000001,33.496818648199998
1865,PID.0168974,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421147,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4312 N 31ST AVE,6537.000000000000000,323.944066258000021,-112.125897430999999,33.499069107300002
1866,PID.0018728,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421074,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3131 W ROMA AVE,6502.000000000000000,328.002206510000008,-112.127376322999993,33.500534507700003
1867,PID.0972678,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15426042,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4234 N 27TH DR,7190.000000000000000,339.276319070999989,-112.118316061000002,33.498394536600003
1868,PID.0486380,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422014,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3327 W CAMPBELL AVE,6509.000000000000000,328.201791304999972,-112.131063858999994,33.501969474600003
1869,PID.0920187,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421109,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3138 W MONTECITO AVE,6481.000000000000000,327.368739591000008,-112.127382587000000,33.499511035700003
1870,PID.0868741,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420037,2008-07-21 19:00:00,2036-02-07 00:28:16,1,2926 W MONTECITO AVE,6286.000000000000000,325.554281695999975,-112.122608267999993,33.499527435799997
1871,PID.0947073,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421140,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4341 N 31ST DR,7202.000000000000000,335.784868221000011,-112.126263781999995,33.500192389100000
1872,PID.0349086,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425110,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4121 N 30TH AVE,6621.000000000000000,328.440018063000025,-112.122873991000006,33.495972454399997
1873,PID.0370194,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425009,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3021 W DEVONSHIRE AVE,7962.000000000000000,351.963886537999997,-112.124000539999997,33.496169931700003
1874,PID.0339879,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15419088,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4402 N 27TH AVE,6888.000000000000000,344.679799176000017,-112.117444363000004,33.500072824400000
1875,PID.0516296,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15426127,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4132 N 28TH DR,5916.000000000000000,317.200566928000001,-112.120714690000000,33.496291177700002
1876,PID.0364974,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422184,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3422 W TURNEY AVE,6980.000000000000000,331.143365894999988,-112.133128787000004,33.500231243499996
1877,PID.0458431,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422078,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3421 W ROMA AVE,6945.000000000000000,330.195051678000027,-112.133125409000002,33.500537941099999
