"id","longitude","latitude","address","type"
"FaID.0327",-111.840746989,33.4348982169,"421 W BROWN RD MESA AZ 85201","candidate location"
"FaID.0328",-112.227976672,33.6165582442,"7871 W ACOMA DR PEORIA AZ 85381","candidate location"
"FaID.0329",-111.762361601,33.3347621311,"1245 E WARNER RD GILBERT AZ 85296","candidate location"
"FaID.0330",-112.070524872,33.388939796,"212 E ALTA VISTA RD PHOENIX AZ 85042","candidate location"
"FaID.0331",-112.255642413,33.4826729672,"3100 N 91ST AVE PHOENIX AZ 85037","candidate location"
"FaID.0332",-112.109934192,33.5455489448,"2345 W ORANGEWOOD AVE PHOENIX AZ 85021","candidate location"
"FaID.0333",-111.977735771,33.478582712,"2815 N 48TH ST PHOENIX AZ 85008","candidate location"
"FaID.0334",-112.35583346,33.663127089,"19803 N R H JOHNSON BLVD SUN CITY WEST AZ 85375","candidate location"
"FaID.0335",-111.833759197,33.3090924278,"374 N HAMILTON ST CHANDLER AZ 85225","candidate location"
"FaID.0336",-111.932602238,33.5766194827,"6935 E GOLD DUST AVE PARADISE VALLEY AZ 85253","candidate location"
"FaID.0337",-111.75875953,33.2846318212,"1445 E WILLIS RD GILBERT AZ 85297","candidate location"
"FaID.0338",-111.804869812,33.3978992861,"931 S STAPLEY DR MESA AZ 85204","candidate location"
"FaID.0339",-112.034286861,33.4587477885,"2202 E ROOSEVELT ST PHOENIX AZ 85006","candidate location"
"FaID.0340",-111.983780928,33.7987589235,"4545 E CAREFREE HWY CAVE CREEK AZ 85331","candidate location"
"FaID.0341",-112.404731634,33.4509261932,"16060 W VAN BUREN ST GOODYEAR AZ 85338","candidate location"
"FaID.0342",-111.78109205,33.320751877,"421 E RAY RD GILBERT AZ 85296","candidate location"
"FaID.0343",-111.889303682,33.6719253686,"20363 N PIMA RD SCOTTSDALE AZ 85255","candidate location"
"FaID.0344",-112.131701136,33.6299945035,"15825 N 35TH AVE PHOENIX AZ 85053","candidate location"
"FaID.0345",-112.288737858,33.5805425636,"10600 W PEORIA AVE SUN CITY AZ 85351","candidate location"
